ID,EIN,Label,Address,City,State,Zip,Assets,Income,Revenue,
71,943182526,MOLDAW FAMILY SUPPORTING FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"890,194","1,110,363","140,642",
72,943006979,MORRISON & FOERSTER FOUNDATION,425 MARKET ST,SAN FRANCISCO ,CA,94105-240,"2,379,772","3,683,272","3,683,272",
73,42103916,MUSEUM OF SCIENCE,1 SCIENCE PARK,BOSTON ,MA,02114-109,"221,640,179","95,216,800","66,447,920",
74,943316088,MZ FOUNDATION,1330 BROADWAY STE 903,OAKLAND ,CA,94612-250,"17,584,288",None,None,
75,132700517,NATIONAL CONFERENCE ON SOVIET JEWRY,2020 K STREET NW STE 7800,WASHINGTON ,DC,20006-180,"407,347","981,622","981,622",
76,522055624,NATIONAL FILM PRESERVATION FOUNDATION,870 MARKET ST STE 1113,SAN FRANCISCO ,CA,94102-292,"2,182,959","1,275,764","1,160,716","Film, Video"
77,530193519,NATIONAL GEOGRAPHIC SOCIETY,1145 17TH ST NW,WASHINGTON ,DC,20036-470,"1,227,203,295","604,636,740","456,080,227",
78,530210807,NATIONAL TRUST FOR HISTORIC PRESERVATION IN THE UNITED STATES,2600 VIRGINIA AVE NW STE 1000,WASHINGTON ,DC,20037-192,None,None,None,
79,680480736,NETWORK FOR GOOD INC,1140 CONNECTICUT AVE NW STE 700,WASHINGTON ,DC,20036-401,"56,249,127","171,608,968","171,608,968",Nonmonetary Support N.E.C.
80,943284917,NEW ART TRUST,3699 WASHINGTON ST,SAN FRANCISCO ,CA,94118-183,None,None,None,
81,200253310,PASADENA COMMUNITY FOUNDATION,260 S LOS ROBLES AVE STE 119,PASADENA ,CA,91101-286,"36,868,916","17,698,493","9,398,261",Community Foundations
82,941748316,PATAPHYSICAL BROADCASTING FOUNDATION INC,203 8TH AVE,SANTA CRUZ ,CA,95062-461,"549,641","1,159,007","1,159,007",
83,113690722,PEARSON CHARITABLE FOUNDATION,330 HUDSON ST,NEW YORK ,NY,10013-101,"11,190,706","16,937,672","16,853,011",
84,942472322,RADIO BILINGUE INC,5005 E BELMONT AVE,FRESNO ,CA,93727-244,"2,122,159","2,398,758","2,398,758",
85,200755090,REALOGY CHARITABLE FOUNDATION INC,175 PARK AVE,MADISON ,NJ,07940-112,"2,512,829","2,701,311","2,306,415",Fund Raising and/or Fund Distribution
86,571154844,REBOOT INC,245 RUSSELL ST STE 20,HADLEY ,MA,01035-956,"1,037,208","1,783,145","1,783,145",Jewish
87,956042721,SAN DIEGO STATE UNIVERSITY FOUNDATION,5250 CAMPANILE DR,SAN DIEGO ,CA,92182-194,"186,933,922","212,251,787","184,025,471",
88,941196211,SAN FRANCISCO ART INSTITUTE,800 CHESTNUT ST,SAN FRANCISCO ,CA,94133-220,"44,743,170","27,086,037","25,686,507",
89,941415298,SAN FRANCISCO BALLET ASSOCIATION,455 FRANKLIN ST 3RD FLR,SAN FRANCISCO ,CA,94102-443,"63,784,244","46,013,191","40,237,683",
90,942747262,SAN FRANCISCO BALLET ENDOWMENT FOUNDATION,455 FRANKLIN ST,SAN FRANCISCO ,CA,94102-443,"94,699,331","13,245,683","4,470,977",
91,941156610,SAN FRANCISCO CONSERVATORY OF MUSIC INC,50 OAK ST,SAN FRANCISCO ,CA,94102-601,"113,080,531","39,114,416","23,784,769",
92,941656083,SAN FRANCISCO CONSORTIUM,2130 FULTON ST,SAN FRANCISCO ,CA,94117-108,"64,533",216,216,
93,942990335,SAN FRANCISCO JAZZ ORGANIZATION,201 FRANKLIN ST,SAN FRANCISCO ,CA,94102-000,"46,604,496","28,764,369","24,251,634",
94,941156300,SAN FRANCISCO MUSEUM OF MODERN ART,151 3RD ST,SAN FRANCISCO ,CA,94103-310,"262,858,593","107,216,428","49,034,556",
95,940836240,SAN FRANCISCO OPERA ASSOCIATION,301 VAN NESS AVE WAR MEMORIAL OPERA,SAN FRANCISCO ,CA,94102-000,"211,119,844","101,934,208","62,947,804",
96,941189846,SAN FRANCISCO OPERA GUILD,301 VAN NESS AVE,SAN FRANCISCO ,CA,94102-450,"4,341,228","2,128,097","2,128,097",
97,941156284,SAN FRANCISCO SYMPHONY,201 VAN NESS AVE,SAN FRANCISCO ,CA,94102-450,"306,759,580","97,699,666","86,419,597",
98,943147856,SANDLER FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"683,935,436","47,835,830","14,415,765",
99,943151591,SARLO FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"14,366,599","7,138,669","680,514",
100,311640316,SCHWAB CHARITABLE FUND,211 MAIN ST,SAN FRANCISCO ,CA,94105-190,"3,175,884,124","1,164,813,914","722,470,714",
101,205205488,SILICON VALLEY COMMUNITY FOUNDATION,2440 WEST EL CAMINO REAL,MOUNTAIN VIEW ,CA,94040-149,"2,193,211,675","1,969,923,161","997,817,676",Community Foundations
102,943386001,SOUND SAFE INC,870 MARKET ST STE 1260,SAN FRANCISCO ,CA,94102-291,1,None,None,"Arts, Culture, and Humanities N.E.C."
103,954765734,SOUTHERN CALIFORNIA PUBLIC RADIO,474 S RAYMOND AVENUE,PASADENA ,CA,91105-262,"36,238,980","20,798,773","20,798,773",
104,386058308,SPX FOUNDATION,13320 BALLANTYNE CORPORATE PL,CHARLOTTE ,NC,28277-360,"36,414",None,None,
105,30490864,SWINERTON FOUNDATION,260 TOWNSEND ST 5TH FLR,SAN FRANCISCO ,CA,94107-171,"727,201",None,None,Fund Raising and/or Fund Distribution
106,943381315,T GARY AND KATHLEEN ROGERS SUPPORTING FAMILY FOUNDATION,200 FRANK H OGAWA PLZ,OAKLAND ,CA,94612-200,"40,493,042","926,828","872,432",
107,931104762,TARBELL FAMILY FOUNDATION,220 NW 2ND AVE STE 1000,PORTLAND ,OR,97209-394,"1,101,023",None,None,
108,943244838,TAUBE FOUNDATION FOR JEWISH LIFE AND CULTURE,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"25,196,026","11,877,296","1,473,642",
109,943399181,TAUBE KORET CAMPUS FOR JEWISH LIFE,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"7,289,026",None,None,Public Foundations
110,943104872,THE BERNARD OSHER JEWISH PHILANTHROPIES FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"3,674,984","3,352,922","326,686",
111,311626194,THE BODRI FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"2,057,993","714,168","128,923",Private Grantmaking Foundations
112,680386518,THE CSU CHICO RESEARCH FOUNDATION,CALIFORNIA STATE UNIVERSITY CHICO B,CHICO ,CA,95929-024,"32,584,880","39,056,523","38,821,690",
113,941696494,THE EXPLORATORIUM,3601 LYON ST,SAN FRANCISCO ,CA,94123-101,"157,012,815","167,259,969","56,364,181",
114,720408921,THE GREATER NEW ORLEANS FOUNDATION,1055 ST CHARLES AVE STE 100,NEW ORLEANS ,LA,70130-398,"212,855,549","53,888,024","27,042,153",
115,131624240,THE JEWISH FEDERATIONS OF NORTH AMERICA INC,25 BROADWAY FL 17,NEW YORK ,NY,10004-101,"179,564,660","51,434,384","48,180,517",
116,943348127,THE LEVINE-LENT FAMILY FOUNDATION,121 STEUART STREET,SAN FRANCISCO ,CA,94105-123,"2,947,102","2,336,046","1,059,655",Single Organization Support
117,133062214,THE NEW YORK COMMUNITY TRUST,909 THIRD AVE STE 22ND FL,NEW YORK ,NY,10022-473,"2,147,925,714","734,970,466","262,682,259",
118,941633387,THE NUEVA SCHOOL,6565 SKYLINE BLVD,HILLSBOROUGH ,CA,94010-622,"55,900,309","20,483,661","16,810,106",
119,943308293,THE PRENTICE AND PAUL@SACK PHOTOGRAPHIC TRUST,111 PINE ST STE 1600,SAN FRANCISCO ,CA,94111-561,"7,415,360","40,021","40,021",Single Organization Support
120,916013536,THE SEATTLE FOUNDATION,1200 5TH AVE STE 1300,SEATTLE ,WA,98101-315,"585,799,314","224,388,217","66,689,526",
121,510198509,TIDES FOUNDATION,PO BOX 29903,SAN FRANCISCO ,CA,94129-090,"156,657,142","159,774,103","96,474,947",
122,226028959,UNITED WAY OF BERGEN COUNTY,6 FOREST AVENUE,PARAMUS ,NJ,07652-524,"12,689,082","10,761,086","10,634,977",
123,850277138,UNITED WAY OF CENTRAL NEW MEXICO,2340 ALAMO AVE SE FLR 2,ALBUQUERQUE ,NM,87106-382,"16,328,302","26,414,549","26,414,549",
124,590830840,UNITED WAY OF MIAMI-DADE INC,3250 SW 3RD AVE,MIAMI ,FL,33129-271,"85,500,974","55,854,375","47,647,964",
125,941312348,UNITED WAY OF THE BAY AREA,221 MAIN ST STE 300,SAN FRANCISCO ,CA,94105-191,"22,688,895","38,423,879","33,719,351",
126,941450153,UNITED WAY SILICON VALLEY,1400 PARKMOOR AVE STE 250,SAN JOSE ,CA,95126-373,"13,209,483","14,258,845","13,959,883",
127,311663020,US CHARITABLE GIFT TRUST,1100 NORTH MARKET STREET 2ND FLOOR,WILMINGTON ,DE,19890-110,"432,823,946","168,258,134","78,416,487",
128,61663494,VASICEK FOUNDATION,PO BOX 1501,PENNINGTON ,NJ,08534-067,"1,611,335",None,None,Private Independent Foundations
129,770381972,WENDER-WEIS FOUNDATION FOR CHILDREN,555 BRYANT ST STE 300,PALO ALTO ,CA,94301-170,"72,640",None,None,
130,770276529,WILSON SONSINI GOODRICH & ROSATI FOUNDATION,650 PAGE MILL RD,PALO ALTO ,CA,94304-100,"792,172","898,977","898,977",
131,132740460,WOMEN MAKE MOVIES INC,115 W 29TH ST RM 1200,NEW YORK ,NY,10001-505,None,None,None,
132,800304869,YERBA BUENA COMMUNITY BENEFIT DISTRICT,5 3RD ST STE 914,SAN FRANCISCO ,CA,94103-321,"2,699,231","2,456,528","2,456,528","Community, Neighborhood Development, Improvement (General)"
